CharityAddress,CharityAreaOfBenefit,CharityAreaOfOperation,CharityId,CharityName,Complete,Created,Description,DonationCount,DonationDetailCount,Donations,Link,MostRecentDonation,Raised,Target,Title
,,,1110522,"The Trussell Trust",False,2019-11-28,"<div></div><div dir=""auto"">This festive season we’re building on the successes of the previous two years and raising money for the Trussell Trust — a brilliant charity that helps thousands of people in the UK feed their families in times of crisis via foodbanks. Last year, the Trussell Trust network gave out over 1.6 million three-day emergency food supplies to people in need, that’s a 19% increase on the previous financial year.</div><div dir=""auto""><br></div><div dir=""auto"">When we started raising money for the Trussell Trust in 2017, 13 million people were living below the poverty line. Two years on, this number has grown to 14 million. People are going hungry every day for a range of reasons, from benefit delays (due to a drastically underfunded switch to universal basic income) to receiving an unexpected bill on a low income. This number is growing for a multitude of reasons but the responsibility lies in the same place each time. Our current government is failing us.</div><div dir=""auto""><br></div><div dir=""auto"">Winter is always the busiest period for foodbanks, so we’d like your help to raise as much cash as possible. A tin of beans costs as little as 30p, so any donation you make however small or large will really help!</div><div dir=""auto""><br></div><div dir=""auto"">We wish that each year we wouldn't need to fundraise for this cause, it shouldn’t be down to the Trussell Trust (and many other similar organisations), there should be a system that supports and cares for people.</div><div dir=""auto""><br></div><div dir=""auto"">Please share this on all of your social platforms to help us achieve our goal. Then, on December the 12th please vote for a change — the right are failing us all, but most importantly, they're failing those who are in need of a social care system that works.</div><div dir=""auto""><br></div><div dir=""auto"">Thank you, we couldn’t do this without you!</div><div><br></div><div><div><div><div><font color=""#3a3a3a""></font></div></div></div></div>",73,73,"2020-01-11 10/2019-12-24 15/2019-12-19 7/2019-12-19 10/2019-12-17 30/2019-12-16 10/2019-12-14 25/2019-12-14 20/2019-12-14 20/2019-12-14 20/2019-12-14 10/2019-12-13 20/2019-12-13 20/2019-12-12 10/2019-12-12 50/2019-12-11 20/2019-12-11 20/2019-12-11 20/2019-12-11 10/2019-12-10 10/2019-12-10 50/2019-12-10 10/2019-12-10 20/2019-12-10 20/2019-12-10 30/2019-12-09 20/2019-12-09 20/2019-12-07 20/2019-12-07 10/2019-12-06 25/2019-12-05 10/2019-12-05 5/2019-12-05 20/2019-12-03 20/2019-12-03 20/2019-12-03 5/2019-12-03 20/2019-12-02 25/2019-12-02 10/2019-12-01 20/2019-12-01 10/2019-11-30 15/2019-11-29 25/2019-11-29 10/2019-11-29 20/2019-11-29 40/2019-11-29 100/2019-11-29 10/2019-11-29 10/2019-11-29 20/2019-11-29 50/2019-11-29 10/2019-11-29 15/2019-11-29 20/2019-11-29 20/2019-11-29 20/2019-11-29 10/2019-11-29 20/2019-11-28 15/2019-11-28 30/2019-11-28 10/2019-11-28 10/2019-11-28 50",https://www.justgiving.com/Foodbank2019,2020-01-11,1507,1500,"Festive Food Bank Fundraiser 2019"
,,,1110522,"The Trussell Trust",True,2020-06-11,"<p>Last year, food banks in our network provided more than 1.6 million emergency food parcels to people in crisis. More than half a million of these went to children. It’s not right that people can’t afford the basics. With your help, we can help end the need for food banks.As a nation, we expect no one should be left hungry or destitute. Illness, disability, family breakdown or the loss of a job can happen to any of us. With your help #ThisCanChange.</p><p>It is clear that the COVID-19 pandemic is already having a negative impact on the lives of many people. With financial hardship and economic uncertainty becoming a significant issue, colleges up and down the country are looking for ways to support their staff, students and communities.</p><p><br>With this in mind, London South East Colleges launched ‘FE Foodbank Friday’ - in partnership with FE Week - to support the people in our communities who need it most. The initiative, established on 20th March 2020, saw great success in supporting local food banks in South East London.</p><p><br>As a supporter of the initiative we hope to replicate this success in our own local area and become part of a national movement where colleges across the UK support their local communities through the coronavirus crisis and beyond.</p><p><br>Therefore, we pledge to join the FE Foodbank Friday Initiative – supporting our own communities and replicating the success we have had so far to provide help where it's most needed.</p><p><br>The College is a major partner in our local community, and we want to do all that we can to support it. By supporting this initiative, we can ensure that the most vulnerable people in our communities are well looked-after and all of us can make it through this pandemic.</p><p><br>As colleges across the UK unite to improve the lives of our communities, we hope that we can continue to provide this support going forward.<br></p>",0,0,,https://www.justgiving.com/Gloucestershire-College,,0,500,"Food bank Friday"
,,,1110522,"The Trussell Trust",True,2020-06-13,"<p><span></span></p><p>'Lean On Me' - A performance in aid of The Trussell Trust &amp; Show Racism The Red Card:&nbsp;https://youtu.be/Zo0ozU2ZObw</p><div><br><p><span>Please help us support those who are being impacted the most by the COVID-19 pandemic.&nbsp;</span></p><p><span>A message from the Trussell Trust</span></p><p><span>""Last year, food banks in our network provided more than 1.6 million emergency food parcels to people in crisis. More than half a million of these went to children. It’s not right that people can’t afford the basics. With your help, we can help end the need for food banks.As a nation, we expect no one should be left hungry or destitute. Illness, disability, family breakdown or the loss of a job can happen to any of us. With your help this can change""</span><br></p><p><span>For more information about how The Trussell trust is providing support during the pandemic:&nbsp;<a href=""https://www.trusselltrust.org/coronavirus-food-banks/"">https://www.trusselltrust.org/coronavirus-food-banks/</a></span></p></div>",0,0,,https://www.justgiving.com/covid19foodbanksupport,,0,500,"Emergency COVID-19 Food Bank Support"
,,,1181267,"The Hygiene Bank",True,2020-06-11,"Galvanised by the belief that being clean is not a luxury or a privilege, The Hygiene Bank is a registered, people powered, grassroots charity grounded in community. We collect and re-distribute donated toiletries, hygiene, beauty and personal care items to UK charities, voluntary organisations and schools. These in turn are then given for free to their beneficiaries. Our passion stems from a sense of injustice: it's not right that anyone should face hygiene poverty in modern Britain.",0,0,,https://www.justgiving.com/THBDurham,,0,600,"THB Durham"
,,,296645,"Alzheimer's Society",True,2020-06-08,"Alzheimer’s Society is transforming the landscape of dementia forever.

Until the day we find a cure, we will create a society where those affected by dementia are supported and accepted, able to live in their community without fear or prejudice.",16,16,"2020-06-12 10/2020-06-12 20/2020-06-12 20/2020-06-12 10/2020-06-12 20/2020-06-11 10/2020-06-10 10/2020-06-09 10/2020-06-09 10/2020-06-09 10/2020-06-09 15/2020-06-09 10/2020-06-09 20/2020-06-09 20/2020-06-08 20/2020-06-08 20",https://www.justgiving.com/FSAwellnessworks2020,2020-06-12,235,900,"FSA Bingo Event for Alzheimer's Society"
,,,1110522,"The Trussell Trust",True,2020-06-04,"<p><span>For a second year in a row, Warmworks' employees voted by a majority for the <b>Trussell Trust</b> as our annual charity of&nbsp;choice, given their vital work for local Food Banks supporting the most&nbsp;vulnerable communities across Scotland and the UK.</span></p><p><span>Warmworks would&nbsp;like to help in various ways by starting off with our</span><span>&nbsp;</span><span>‘Virtual 2000-Mile&nbsp;Challenge’</span><span>.&nbsp;</span></p><p><span>Our team aims to achieve this formidable distance collectively from their homes or close-by during lockdown restrictions within one calendar month. This is equivalent to travelling from the most southern (Mull of&nbsp;Galloway) and northern (Skaw, Shetland) points in Scotland and back again –&nbsp;twice! Or nearly 500 miles per week.&nbsp;</span></p><p><span>Various members of our team will be setting themselves a daily or weekly distance&nbsp;challenge. Anything goes. From walking, running and cycling, maybe a few PBs, and who knows what&nbsp;other physically challenging indoor or outdoor exploits! Even if it’s just up and down the stairs&nbsp;a few more times every day or walking round the local park. All distances will count – no matter how small.&nbsp;</span></p><p></p><p><span>Support has never been more vital as food banks report some of their busiest periods ever.&nbsp;</span><span>Food banks are working incredibly hard to continue to serve their local&nbsp;</span><span>communities safely despite this unparalleled surge in demand, as well as facing&nbsp;significant challenges as they are forced to change their ways of&nbsp;working.&nbsp;</span><span>Read more </span><a href=""https://www.trusselltrust.org/food-banks-report-record-spike/"" target=""_blank"">here</a><span>.</span></p><p></p><p><b><span>We're proud to be standing alongside the&nbsp;Trussell Trust, food banks, and people in financial crisis.</span></b><span>&nbsp;</span></p><p><b>Your support will help food banks support people in&nbsp;crisis now and as the situation changes.</b><b>&nbsp;</b><br></p><p></p><p><span>We will be&nbsp;looking to do more activities as the year progresses to meet our funding target.&nbsp;</span><span>Watch this space. And w</span><span>e want to beat what we raised last year.&nbsp;</span></p><p>Warmworks and our&nbsp;team of charity fundraisers would be<br>delighted for any donation you can make –&nbsp;no matter how small. And if your&nbsp;pennies don’t stretch that far. Don’t worry.&nbsp;You can support us on social&nbsp;media by following us on Twitter, Facebook or LinkedIn and help spread the good&nbsp;news. It will motivate us to meet our&nbsp;targets and raise as much vital&nbsp;funding as we can.</p><p><b>Thank you from all of us!</b></p><p></p><p></p><p></p>",2,2,"2020-06-09 25/2020-06-05 5",https://www.justgiving.com/WW-TT-1,2020-06-09,30,1500,"Warmworks Fundraising Challenges for the Trussell Trust & Food Banks"
,,,1152387,"Colchester Foodbank",True,2017-10-31,"<p>Thanks for taking the time to visit my JustGiving page.</p><p>Donating through JustGiving is simple, fast and totally secure. Your details are safe with JustGiving - they'll never sell them on or send unwanted emails. Once you donate, they'll send your money directly to the charity. So it's the most efficient way to donate - saving time and cutting costs for the charity.</p>",0,0,,https://www.justgiving.com/Laszlo-Szilagyi,,0,750,"food banking"
,,,1168898,"Harbour Church Portsmouth",True,2020-04-10,"Our Food Bank will be open more frequently over the next few weeks. We will be open at our Gunwharf location from 11am-12noon Monday-Thursday and our usual time of 4-6pm on Thursdays.

We are open for those with Trussell trust food bank vouchers, as well as anybody else who is struggling to access basic food and household items. Alongside being able to access the food bank during our opening hours, people are able to email or call to request a food parcel delivered to their front door.

If you are able, we need donations! Tinned goods, pasta, loo roll, rice, cereal, jarred sauces, UTH milk and more. You can bring in donations during any of our opening hours.

Money that you donate will allow us to keep up our stocks of food and toiletries which are making a huge difference to those in our City who need it.",0,0,,https://www.justgiving.com/Jack-Jones41,,0,200,"Food Bank"
,,,1084287,"The Food Bank (an initiative of Into the Community)",True,2015-10-08,"<p>Thanks for taking the time to visit my JustGiving page.</p><p>Donating through JustGiving is simple, fast and totally secure. Your details are safe with JustGiving – they’ll never sell them on or send unwanted emails. Once you donate, they’ll send your money directly to the charity. So it’s the most efficient way to donate – saving time and cutting costs for the charity.</p>",0,0,,https://www.justgiving.com/Nicola-Burns1,,0,0,"Nicola's Food bank "
,,,"214779 and in Scotland SC009359","The Salvation Army",False,2020-04-08,"<p>The last few months have seen immense suffering and hardship from storms and flooding. However the outbreak of the Coronavirus has quite literally changed everyones lives and turned society upside down.However, The Salvation Army is resolute and strong and just as we did in the Spanish Flu pandemic, and during the bombing and the Blitz we will carry on, doing what we can to support people and communities  in the ways that we can, within the Government guidelines.In true Salvation Army Spirit, our greatest strength is our flexible, responsive local presence. Right now, each of our 650 corps and community centres will know exactly what the most effective things are to do. We are not just responding to the virus impact in one or two ways, but dozens and dozens of different ways, from food banks to counselling, from supporting NHS isolation units to checking up on people who are living alone Please give what you can to enable us to help as many people as possible! Southwick Community Project is collecting donations to buy food for vulnerable people in our community who are struggling during the coronavirus pandemic £20 can provide a box of essentials for a family of 4.</p>",8,8,"2020-06-07 30/2020-06-02 30/2020-06-02 30/2020-06-02 30/2020-04-08 20",https://www.justgiving.com/graham-wharton,2020-06-07,3400,3000," Sunderland City Wide Food Bank"
